Address,Unit Number,Unit Size,Gross Rent,Net Rent,Additional Rent
1 Sparks Avenue North York M2H 2W1,Lower Level,"8,625 sq. ft.",$16.50/sq. ft.,Price is Negotiable,N/A
Atria Ii 2235 Sheppard Avenue E North York M2J 5B5,5-501,"12,811 sq. ft.",$35.53/sq. ft.,$16.50/sq. ft. net,$19.03/sq. ft.
Atria Ii 2235 Sheppard Avenue E North York M2J 5B5,9-902A,"1,270 sq. ft.",$37.53/sq. ft.,$18.50/sq. ft. net,$19.03/sq. ft.
Atria Ii 2235 Sheppard Avenue E North York M2J 5B5,9-902B,"2,708 sq. ft.",$37.53/sq. ft.,$18.50/sq. ft. net,$19.03/sq. ft.
Atria Ii 2235 Sheppard Avenue E North York M2J 5B5,10-1000,"19,136 sq. ft.",$35.53/sq. ft.,$16.50/sq. ft. net,$19.03/sq. ft.
Atria Ii 2235 Sheppard Avenue E North York M2J 5B5,11-1100,"19,008 sq. ft.",$35.53/sq. ft.,$16.50/sq. ft. net,$19.03/sq. ft.
Atria Ii 2235 Sheppard Avenue E North York M2J 5B5,15-1500,"3,651 sq. ft.",$35.53/sq. ft.,$16.50/sq. ft. net,$19.03/sq. ft.
2882 Matheson Boulevard E Mississauga L4W 0B7,1,"30,745 sq. ft",$36.50/sq. ft,$24/sq. ft. net,$12.50/sq. ft
12 Morgan Avenue Markham L3T 2B3,3-300,"3,500 sq. ft",$25.50/sq. ft,$15/sq. ft. net,$10.50/sq. ft
3100 Rutherford Road Vaughan L6A 3W7,4-401,"9,019 sq. ft",Call for Information,Call for Information,N/A
South Creek Corporate Centre 125 Commerce Valley Drive W Thornhill L3T 7W4,0-10,"2,083 sq. ft.",$34.03/sq. ft.,$19/sq. ft. net,$15.03/sq. ft.
South Creek Corporate Centre 125 Commerce Valley Drive W Thornhill L3T 7W4,5-501,"6,243 sq. ft.",$34.03/sq. ft.,$19/sq. ft. net,$15.03/sq. ft.
South Creek Corporate Centre 125 Commerce Valley Drive W Thornhill L3T 7W4,601,"4,959 sq. ft.",$34.03/sq. ft.,$19/sq. ft. net,$15.03/sq. ft.
